Defense,Position,Games Played,Players Faced,Pass Yards Allowed,Pass TD Allowed,Interceptions Forced,Rush Attempts Allowed,Rush Yards Allowed,Rush TD Allowed,Targets Allowed,Receptions Allowed,Receiving Yards Allowed,Receiving TD Allowed,PPR Points Allowed,Pass Yards Allowed Per Game,Pass TD Allowed Per Game,Interceptions Forced Per Game,Rush Attempts Allowed Per Game,Rush Yards Allowed Per Game,Rush TD Allowed Per Game,Targets Allowed Per Game,Receptions Allowed Per Game,Receiving Yards Allowed Per Game,Receiving TD Allowed Per Game,PPR Points Allowed Per Game,PPR Points Allowed Rank,Matchup Label
BUF,QB,1,1,274,2,0,2,15,0,0,0,0,0,20.46,274.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,20.46,11,QB vs BUF
PHI,QB,1,1,164,2,0,5,31,0,0,0,0,0,17.66,164.0,2.0,0.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,17.66,12,QB vs PHI
CIN,QB,1,1,216,0,0,5,30,1,0,0,0,0,17.64,216.0,0.0,0.0,5.0,30.0,1.0,0.0,0.0,0.0,0.0,17.64,13,QB vs CIN
GB,QB,1,2,151,3,1,7,8,0,0,0,0,0,16.84,151.0,3.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,16.84,14,QB vs GB
LV,QB,1,1,220,0,1,6,39,1,0,0,0,0,16.7,220.0,0.0,1.0,6.0,39.0,1.0,0.0,0.0,0.0,0.0,16.7,15,QB vs LV
LAC,QB,1,1,277,1,0,6,14,0,0,0,0,0,16.48,277.0,1.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,16.48,16,QB vs LAC
NO,QB,1,1,206,2,0,2,2,0,0,0,0,0,16.44,206.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.44,17,QB vs NO
NYG,QB,1,1,175,2,1,2,14,0,0,0,0,0,14.4,175.0,2.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,14.4,18,QB vs NYG
TB,QB,1,1,254,1,1,5,20,0,0,0,0,0,14.16,254.0,1.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,14.16,19,QB vs TB
JAX,QB,1,1,205,1,1,6,38,0,0,0,0,0,14.0,205.0,1.0,1.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,14.0,20,QB vs JAX
MIA,QB,1,1,160,3,2,5,-6,0,0,0,0,0,13.8,160.0,3.0,2.0,5.0,-6.0,0.0,0.0,0.0,0.0,0.0,13.8,21,QB vs MIA
NE,QB,1,2,200,1,0,2,13,0,0,0,0,0,13.299999999999999,200.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,13.3,22,QB vs NE
ARI,QB,1,1,209,1,1,5,29,0,0,0,0,0,13.26,209.0,1.0,1.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,13.26,23,QB vs ARI
ATL,QB,1,1,221,1,0,3,-3,0,0,0,0,0,12.54,221.0,1.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,12.54,24,QB vs ATL
NYJ,QB,1,1,140,1,0,4,21,0,0,0,0,0,11.7,140.0,1.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,11.7,25,QB vs NYJ
SEA,QB,1,1,178,1,3,7,47,0,0,0,0,0,9.82,178.0,1.0,3.0,7.0,47.0,0.0,0.0,0.0,0.0,0.0,9.82,26,QB vs SEA
TEN,QB,1,1,215,0,0,6,7,0,0,0,0,0,9.3,215.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,9.3,27,QB vs TEN
BAL,QB,1,1,166,1,1,1,4,0,0,0,0,0,9.04,166.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,9.04,28,QB vs BAL
PIT,QB,1,1,143,1,2,0,0,0,0,0,0,0,5.72,143.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,29,QB vs PIT
SF,QB,1,2,168,0,1,3,8,0,0,0,0,0,5.52,168.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,5.52,30,QB vs SF
CAR,RB,1,2,0,0,0,28,224,4,3,3,34,0,52.8,0.0,0.0,0.0,28.0,224.0,4.0,3.0,3.0,34.0,0.0,52.8,1,RB vs CAR
IND,RB,1,2,0,0,0,30,162,3,2,2,29,0,39.099999999999994,0.0,0.0,0.0,30.0,162.0,3.0,2.0,2.0,29.0,0.0,39.1,2,RB vs IND
NO,RB,1,2,0,0,0,31,163,2,6,6,41,0,38.4,0.0,0.0,0.0,31.0,163.0,2.0,6.0,6.0,41.0,0.0,38.4,3,RB vs NO
MIA,RB,1,2,0,0,0,30,143,0,6,6,45,2,36.800000000000004,0.0,0.0,0.0,30.0,143.0,0.0,6.0,6.0,45.0,2.0,36.8,4,RB vs MIA
PIT,RB,1,2,0,0,0,30,114,0,10,8,90,1,34.4,0.0,0.0,0.0,30.0,114.0,0.0,10.0,8.0,90.0,1.0,34.4,5,RB vs PIT
BUF,RB,1,2,0,0,0,29,102,2,4,4,17,1,33.9,0.0,0.0,0.0,29.0,102.0,2.0,4.0,4.0,17.0,1.0,33.9,6,RB vs BUF
CHI,RB,1,3,0,0,0,19,91,1,5,4,86,1,33.7,0.0,0.0,0.0,19.0,91.0,1.0,5.0,4.0,86.0,1.0,33.7,7,RB vs CHI
DAL,RB,1,3,0,0,0,26,111,1,4,4,22,1,29.3,0.0,0.0,0.0,26.0,111.0,1.0,4.0,4.0,22.0,1.0,29.3,8,RB vs DAL
BAL,RB,1,2,0,0,0,19,98,2,5,4,23,0,28.1,0.0,0.0,0.0,19.0,98.0,2.0,5.0,4.0,23.0,0.0,28.1,9,RB vs BAL
