Player,Team,Position,Pass Yards,Pass TD,Interceptions,Rush Yards,Rush TD,Receptions,Receiving Yards,Receiving TD
Devaughn Vele,NO,WR,0.0,0.0,0.0,0.0,0.0,7.0,69.0,1.0
Devin Singletary,NYG,RB,0.0,0.0,0.0,16.0,0.0,4.0,22.0,1.0
Dohnte Meyers,CIN,WR,0.0,0.0,0.0,10.0,0.0,1.0,18.0,0.0
Dontayvion Wicks,PHI,WR,0.0,0.0,0.0,0.0,0.0,2.0,73.0,1.0
Drake London,ATL,WR,0.0,0.0,0.0,6.0,0.0,2.0,29.0,0.0
Drake Maye,NE,QB,178.0,1.0,3.0,47.0,0.0,0.0,0.0,0.0
Drew Lock,SEA,QB,187.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0
Drew Ogletree,IND,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Sample,CIN,TE,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0
Durham Smythe,BAL,TE,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
Dyami Brown,WSH,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eli Raridon,NE,TE,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
Elic Ayomanor,TEN,WR,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0
Emanuel Wilson,SEA,RB,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Emari Demercado,DAL,RB,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Emeka Egbuka,TB,WR,0.0,0.0,0.0,0.0,0.0,5.0,63.0,0.0
Emmett Johnson,KC,RB,0.0,0.0,0.0,24.0,0.0,2.0,44.0,0.0
Evan Engram,DEN,TE,0.0,0.0,0.0,0.0,0.0,4.0,43.0,1.0
Foster Moreau,HOU,TE,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0
Frank Gore Jr.,BUF,RB,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Garrett Wilson,NYJ,WR,0.0,0.0,0.0,0.0,0.0,6.0,79.0,0.0
Geno Smith,NYJ,QB,215.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
George Holani,SEA,RB,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
George Kittle,SF,TE,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0
George Pickens,DAL,WR,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0
Greg Dulcich,MIA,TE,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0
Gunnar Helm,TEN,TE,0.0,0.0,0.0,0.0,0.0,4.0,28.0,0.0
Harold Fannin Jr.,CLE,TE,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0
Hunter Henry,NE,TE,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0
Isaac TeSlaa,DET,WR,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0
Isaiah Likely,NYG,TE,0.0,0.0,0.0,0.0,0.0,8.0,78.0,2.0
Isaiah Williams,NYJ,WR,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
J.K. Dobbins,DEN,RB,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
Ja'Kobi Lane,BAL,WR,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0
Ja'Marr Chase,CIN,WR,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0
Jack Bech,LV,WR,0.0,0.0,0.0,0.0,0.0,3.0,23.0,1.0
Jacoby Brissett,ARI,QB,277.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0
Jacory Croskey-Merritt,WSH,RB,0.0,0.0,0.0,63.0,1.0,1.0,-7.0,0.0
Jadarian Price,SEA,RB,0.0,0.0,0.0,52.0,0.0,2.0,6.0,0.0
Jahan Dotson,ATL,WR,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0
Jahdae Walker,CHI,WR,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Jahmyr Gibbs,DET,RB,0.0,0.0,0.0,208.0,2.0,11.0,91.0,1.0
Jake Briningstool,KC,TE,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0
Jake Ferguson,DAL,TE,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0
Jakobi Meyers,JAX,WR,0.0,0.0,0.0,2.0,0.0,2.0,40.0,1.0
Jalen Coker,CAR,WR,0.0,0.0,0.0,0.0,0.0,8.0,138.0,2.0
Jalen Hurts,PHI,QB,203.0,3.0,0.0,46.0,0.0,0.0,0.0,0.0
Jalen Nailor,LV,WR,0.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0
James Cook III,BUF,RB,0.0,0.0,0.0,192.0,1.0,4.0,16.0,0.0
Jameson Williams,DET,WR,0.0,0.0,0.0,0.0,0.0,6.0,78.0,0.0
Jared Goff,DET,QB,533.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0
Jared Wayne,HOU,WR,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0
Jauan Jennings,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javonte Williams,DAL,RB,0.0,0.0,0.0,41.0,1.0,5.0,31.0,1.0
Jaxon Smith-Njigba,SEA,WR,0.0,0.0,0.0,0.0,0.0,8.0,122.0,1.0
Jaxson Dart,NYG,QB,230.0,3.0,0.0,54.0,0.0,0.0,0.0,0.0
Jayden Daniels,WSH,QB,164.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0
Jayden Reed,GB,WR,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0
Jaylen Waddle,DEN,WR,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Jaylen Warren,PIT,RB,0.0,0.0,0.0,46.0,0.0,5.0,27.0,0.0
Jaylen Wright,MIA,RB,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
Jaylin Lane,WSH,WR,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
Jaylin Noel,HOU,WR,0.0,0.0,0.0,0.0,0.0,2.0,53.0,0.0
Jeremiyah Love,ARI,RB,0.0,0.0,0.0,41.0,1.0,2.0,9.0,0.0
Jeremy Ruckert,NYJ,TE,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
Jerry Jeudy,CLE,WR,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0
Joe Burrow,CIN,QB,254.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0
John Bates,WSH,TE,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0
Jonathan Mingo,DAL,WR,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0
Jonathan Taylor,IND,RB,0.0,0.0,0.0,98.0,2.0,3.0,23.0,0.0
Jonathon Brooks,CAR,RB,0.0,0.0,0.0,14.0,0.0,1.0,48.0,0.0
Jonnu Smith,GB,TE,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0
Jordan Addison,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Love,GB,QB,387.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Jordan Mason,MIN,RB,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0
Jordan Whittington,LAR,WR,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0
Josh Allen,BUF,QB,582.0,5.0,0.0,92.0,4.0,0.0,0.0,0.0
Josh Cameron,JAX,WR,0.0,0.0,0.0,0.0,0.0,2.0,20.0,1.0
Josh Downs,IND,WR,0.0,0.0,0.0,0.0,0.0,2.0,37.0,0.0
Josh Oliver,MIN,TE,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0
Joshua Palmer,BUF,WR,0.0,0.0,0.0,0.0,0.0,2.0,77.0,2.0
Justice Hill,BAL,RB,0.0,0.0,0.0,18.0,0.0,1.0,10.0,0.0
Justin Herbert,LAC,QB,209.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0
Justin Jefferson,MIN,WR,0.0,0.0,0.0,0.0,0.0,8.0,92.0,2.0
Juwan Johnson,NO,TE,0.0,0.0,0.0,0.0,0.0,3.0,54.0,1.0
KC Concepcion,CLE,WR,0.0,0.0,0.0,15.0,0.0,4.0,43.0,0.0
KaVontae Turpin,DAL,WR,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0
Kaelon Black,SF,RB,0.0,0.0,0.0,65.0,0.0,1.0,5.0,0.0
Kalif Raymond,CHI,WR,0.0,0.0,0.0,0.0,0.0,8.0,84.0,0.0
Kayshon Boutte,HOU,WR,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0
Kaytron Allen,WSH,RB,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
Keaton Mitchell,LAC,RB,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Keenan Allen,IND,WR,0.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0
Kendre Miller,NO,RB,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0
Kendrick Bourne,ARI,WR,0.0,0.0,0.0,0.0,0.0,8.0,75.0,0.0
Kenneth Walker III,KC,RB,0.0,0.0,0.0,173.0,1.0,3.0,18.0,1.0
Kenny Gainwell,TB,RB,0.0,0.0,0.0,15.0,0.0,1.0,3.0,0.0
Kenny Pickett,CAR,QB,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
Kenyon Sadiq,NYJ,TE,0.0,0.0,0.0,3.0,1.0,3.0,21.0,0.0
Keon Coleman,BUF,WR,0.0,0.0,0.0,0.0,0.0,7.0,64.0,0.0
Kevin Coleman Jr.,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Shakir,BUF,WR,0.0,0.0,0.0,0.0,0.0,7.0,88.0,0.0
Kirk Cousins,LV,QB,160.0,3.0,2.0,-6.0,0.0,0.0,0.0,0.0
Konata Mumpfield,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Monangai,CHI,RB,0.0,0.0,0.0,100.0,1.0,2.0,24.0,0.0
Kyle Pitts Sr.,ATL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyler Murray,MIN,QB,18.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0
Kyren Williams,LAR,RB,0.0,0.0,0.0,41.0,1.0,3.0,24.0,0.0
LaJohntay Wester,BAL,WR,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0
Ladd McConkey,LAC,WR,0.0,0.0,0.0,0.0,0.0,5.0,82.0,1.0
Lamar Jackson,BAL,QB,324.0,1.0,0.0,40.0,1.0,0.0,0.0,0.0
Lan Larison,NE,RB,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0
Laquon Treadwell,IND,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Farrell,SF,TE,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0
Luke Schoonmaker,DAL,TE,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0
Luther Burden III,CHI,WR,0.0,0.0,0.0,2.0,0.0,5.0,63.0,0.0
Mack Hollins,NE,WR,0.0,0.0,0.0,0.0,0.0,4.0,51.0,0.0
Makai Lemon,PHI,WR,0.0,0.0,0.0,0.0,0.0,3.0,-5.0,0.0
